Timestamp,cases,deaths
104.0,14,304
104.2,7,304
104.4,14,304
104.6,17,304
104.8,13,304
105.0,11,304
105.2,20,304
105.4,15,304
105.6,21,304
105.8,14,304
106.0,19,304
106.2,26,304
106.4,8,304
106.6,10,304
106.8,21,304
107.0,17,304
107.2,20,304
107.4,18,305
107.6,15,305
107.8,10,306
108.0,12,306
108.2,15,306
108.4,16,306
108.6,17,306
108.8,11,306
109.0,12,306
109.2,21,306
109.4,12,306
109.6,16,306
109.8,19,306
110.0,23,306
110.2,26,306
110.4,16,306
110.6,21,306
110.8,8,307
111.0,20,307
111.2,16,307
111.4,15,307
111.6,18,308
111.8,11,308
112.0,17,309
112.2,15,309
112.4,14,309
112.6,17,309
112.8,22,309
113.0,19,309
113.2,20,309
113.4,13,309
113.6,19,309
113.8,18,309
114.0,14,309
114.2,15,309
114.4,9,309
114.6,21,309
114.8,27,309
115.0,27,309
115.2,16,309
115.4,19,309
115.6,18,309
115.8,18,309
116.0,16,309
116.2,12,309
116.4,18,309
116.6,20,309
116.8,14,309
117.0,15,309
117.2,17,309
117.4,23,309
117.6,21,309
117.8,24,309
118.0,18,309
118.2,9,309
118.4,21,309
118.6,16,309
118.8,16,310
119.0,13,310
119.2,16,310
119.4,18,310
119.6,10,310
119.8,12,310
120.0,21,310
120.2,20,310
120.4,23,310
120.6,13,311
120.8,21,311
121.0,14,311
121.2,26,311
121.4,12,311
121.6,22,311
121.8,24,312
122.0,19,312
122.2,19,312
122.4,13,312
122.6,18,312
122.8,13,312
123.0,17,312
123.2,20,312
123.4,24,312
123.6,13,313
123.8,12,313
124.0,21,314
124.2,12,314
124.4,25,314
124.6,21,314
124.8,19,315
125.0,24,316
125.2,24,316
125.4,28,316
125.6,18,316
125.8,22,316
126.0,14,316
126.2,19,316
126.4,12,316
126.6,24,316
126.8,35,316
127.0,16,316
127.2,28,316
127.4,35,316
127.6,26,316
127.8,20,316
128.0,27,316
128.2,17,316
128.4,21,316
128.6,28,316
128.8,26,316
129.0,26,316
129.2,26,316
129.4,22,316
129.6,27,316
129.8,20,316
130.0,17,316
130.2,32,316
130.4,17,316
130.6,21,317
130.8,23,317
131.0,19,317
131.2,22,317
131.4,30,317
131.6,21,317
131.8,27,317
132.0,26,317
132.2,34,318
132.4,23,319
132.6,23,319
132.8,25,319
133.0,26,319
133.2,25,319
133.4,19,319
133.6,25,319
133.8,27,319
134.0,34,319
134.2,25,319
134.4,32,319
134.6,20,319
134.8,21,319
135.0,17,320
135.2,29,320
135.4,27,320
135.6,38,320
135.8,37,320
136.0,28,320
136.2,35,320
136.4,40,320
136.6,20,321
136.8,23,321
137.0,28,321
137.2,20,321
137.4,28,321
137.6,32,322
137.8,16,322
138.0,27,322
138.2,27,323
138.4,31,323
138.6,27,323
138.8,29,323
139.0,29,323
139.2,23,323
139.4,40,323
139.6,42,324
139.8,28,324
140.0,37,324
140.2,28,324
140.4,31,324
140.6,27,324
140.8,20,324
141.0,29,324
141.2,33,324
141.4,27,324
141.6,35,324
141.8,36,324
142.0,37,324
142.2,31,324
142.4,33,325
142.6,36,325
142.8,37,325
143.0,37,325
143.2,38,325
143.4,36,325
143.6,34,325
143.8,30,325
144.0,30,325
144.2,34,325
144.4,32,326
144.6,26,327
144.8,36,327
145.0,41,327
145.2,38,327
145.4,43,328
145.6,29,328
145.8,26,328
146.0,50,328
146.2,32,328
146.4,47,328
146.6,38,328
146.8,36,328
147.0,25,328
147.2,33,328
147.4,32,328
147.6,51,328
147.8,39,328
148.0,32,329
148.2,30,329
148.4,29,329
148.6,28,329
148.8,37,329
149.0,27,329
149.2,32,329
149.4,47,330
149.6,42,330
149.8,46,330
150.0,40,330
150.2,41,330
150.4,45,330
150.6,30,330
150.8,42,331
151.0,58,331
151.2,51,331
151.4,45,331
151.6,32,331
151.8,34,331
152.0,31,331
152.2,48,331
152.4,50,331
152.6,42,331
152.8,34,331
153.0,57,331
153.2,43,331
153.4,43,331
153.6,36,331
153.8,29,331
154.0,38,331
154.2,28,331
154.4,40,331
154.6,41,331
154.8,41,332
155.0,39,332
155.2,46,332
155.4,41,332
155.6,43,332
155.8,37,332
156.0,48,332
156.2,32,332
156.4,42,332
156.6,40,332
156.8,52,333
157.0,44,333
157.2,40,333
157.4,37,333
157.6,35,334
157.8,51,334
158.0,52,336
158.2,64,336
158.4,43,336
158.6,40,336
158.8,48,336
159.0,61,336
159.2,63,336
159.4,52,336
159.6,43,336
159.8,51,337
160.0,51,337
160.2,40,337
160.4,39,337
160.6,47,337
160.8,47,337
161.0,43,338
161.2,60,338
161.4,40,338
161.6,60,339
161.8,46,339
162.0,37,339
162.2,50,339
162.4,50,339
162.6,40,339
162.8,44,339
163.0,64,339
163.2,42,340
163.4,47,340
163.6,51,340
163.8,46,340
164.0,34,340
164.2,42,340
164.4,40,340
164.6,52,340
164.8,44,340
165.0,52,340
165.2,58,340
165.4,57,341
165.6,55,341
165.8,46,341
166.0,48,341
166.2,45,341
166.4,50,341
166.6,57,341
166.8,57,341
167.0,54,342
167.2,68,342
167.4,48,342
167.6,49,342
167.8,56,342
168.0,51,342
168.2,58,342
168.4,38,342
168.6,51,342
168.8,56,342
169.0,53,342
169.2,53,342
169.4,48,342
169.6,57,343
169.8,61,344
170.0,58,344
170.2,61,344
170.4,46,345
170.6,57,345
170.8,43,346
171.0,63,346
171.2,55,348
171.4,53,348
171.6,47,348
171.8,53,348
172.0,57,349
172.2,54,349
172.4,65,350
172.6,53,350
172.8,72,351
173.0,63,351
173.2,63,351
173.4,62,351
173.6,42,352
173.8,46,352
174.0,55,352
174.2,53,352
174.4,50,352
174.6,52,352
174.8,44,353
175.0,58,353
175.2,60,353
175.4,72,353
175.6,54,353
175.8,63,353
176.0,55,353
176.2,70,353
176.4,54,353
176.6,51,353
176.8,69,353
177.0,67,354
177.2,66,355
177.4,73,355
177.6,45,356
177.8,55,356
178.0,58,356
178.2,54,356
178.4,52,358
178.6,69,360
178.8,69,360
179.0,54,360
179.2,67,360
179.4,60,360
179.6,91,360
179.8,55,360
180.0,58,361
180.2,49,362
180.4,59,362
180.6,68,364
180.8,57,364
181.0,56,364
181.2,65,364
181.4,63,365
181.6,64,367
181.8,67,367
182.0,66,367
182.2,60,367
182.4,64,368
182.6,54,369
182.8,71,369
183.0,68,370
183.2,77,371
183.4,69,371
183.6,56,371
183.8,87,371
184.0,75,371
184.2,73,371
184.4,77,371
184.6,58,371
184.8,62,372
185.0,62,372
185.2,61,373
185.4,79,373
185.6,58,373
185.8,69,373
186.0,71,373
186.2,66,374
186.4,65,374
186.6,81,374
186.8,69,374
187.0,74,374
187.2,75,374
187.4,65,374
187.6,74,374
187.8,59,374
188.0,76,374
188.2,75,374
188.4,69,374
188.6,63,374
188.8,61,374
189.0,54,375
189.2,69,376
189.4,62,378
189.6,67,378
189.8,75,378
190.0,65,379
