type,quantile,value,target,forecast_date,target_end_date,location
quantile,0.4,2115457.15,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.45,2116173.025,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.5,2116995.625,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.55,2118178.7875,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.6,2119189.15,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.65,2120134.85,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.7,2122156.35,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.75,2125572.6875,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.8,2129399.35,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.85,2132151.15,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.9,2138116.9,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.95,2162957.325,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.975,2176598.1375,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.99,2241053.9849999994,50.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-09-28,New York State
quantile,0.01,2110051.3975,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.025,2110410.48125,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.05,2110759.35,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.1,2111894.7,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.15,2112476.3375,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.2,2113280.5,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.25,2113754.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.3,2114247.275,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.35,2114945.5,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.4,2115838.1,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.45,2116666.6375,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.5,2117599.5,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.55,2118619.725,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.6,2119882.3,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.65,2121102.425,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.7,2123380.025,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.75,2127382.1875,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.8,2131346.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.85,2134997.375,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.9,2142424.375,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.95,2174864.0,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.975,2197111.175,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.99,2294522.837499999,60.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-08,New York State
quantile,0.01,2110070.6775,70.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-18,New York State
quantile,0.025,2110429.35625,70.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-18,New York State
quantile,0.05,2110808.525,70.0 days ahead cum model_0/Cumulative_cases_state,2021-08-09,2021-10-18,New York State
